,1,2,3,4,5,6,7,8,9,10,11,12
0,8744.0,11250.0,6669.0,6941.0,11465.0,3163.0,3643.0,3940.0,4790.0,6266.0,9006.0,5103.0
1,6221.0,7151.0,6040.0,6178.0,6205.0,7021.0,6223.0,6253.0,6654.0,6519.0,7681.0,7196.0
2,2591.0,3521.0,2410.0,2548.0,2575.0,3391.0,2593.0,2623.0,3024.0,2889.0,4051.0,3566.0
3,767.0,3526.0,4067.0,3194.0,3361.0,1275.0,1813.0,1351.0,845.0,5295.0,2609.0,1897.0
4,873.0,3053.0,3386.0,3261.0,2637.0,1221.0,1742.0,1273.0,938.0,3288.0,2808.0,1980.0
5,9961.0,8308.0,9699.0,9504.0,11801.0,3802.0,5262.0,4606.0,4715.0,10796.0,6201.0,4953.0
6,1846.0,1686.0,1564.0,965.0,1323.0,840.0,777.0,1152.0,1309.0,694.0,1047.0,953.0
7,1036.0,1431.0,1331.0,998.0,1195.0,794.0,951.0,846.0,1000.0,1150.0,978.0,916.0
8,751.0,2913.0,1270.0,1768.0,2009.0,852.0,722.0,719.0,831.0,1766.0,1108.0,1114.0
9,4098.0,4753.0,4205.0,4702.0,3872.0,3601.0,3317.0,3317.0,3592.0,3361.0,3719.0,3446.0
