,id,month,rest_size,application
0,3722,2,49,0
1,3773,1,18,0
2,3773,2,29,0
3,3773,6,36,0
4,3773,9,36,0
5,3783,1,40,0
6,3783,6,36,0
7,3800,1,39,0
8,3800,4,48,1
9,3800,8,36,0
10,3800,10,40,0
11,3800,11,6,1
12,4717,3,47,0
13,4717,5,52,0
14,4717,8,36,0
15,4717,10,41,0
16,4782,7,36,0
17,4782,11,48,0
18,4901,2,50,0
19,4901,4,38,0
20,4901,6,36,0
21,10922,2,45,1
22,10922,6,36,0
23,10922,8,36,1
24,10922,10,45,0
25,11831,4,52,0
26,11831,8,36,0
27,11831,12,36,0
28,11839,5,46,1
29,11839,8,36,1
30,11839,11,44,1
31,12302,6,36,0
32,12302,10,36,0
33,12306,3,50,0
34,12306,9,36,0
35,12396,1,50,1
36,12396,7,36,0
37,12396,9,36,0
38,12484,7,36,0
39,12484,12,36,0
40,12526,2,36,0
41,12526,10,37,0
42,12531,2,46,0
43,12531,5,46,0
44,12531,8,36,0
45,12631,3,43,1
46,12631,5,46,0
47,12631,9,36,0
48,12631,11,44,0
49,15198,1,4,0
50,15198,2,39,0
51,15198,4,57,0
52,15198,6,36,0
53,15198,12,32,0
54,15204,3,56,1
55,15204,5,43,1
56,15204,8,36,0
57,15204,12,36,0
58,85396,2,40,1
59,85396,4,36,1
60,85396,12,36,1
61,85581,3,45,0
62,85581,7,36,0
63,85581,9,36,0
64,85581,11,52,0
65,85582,6,36,0
66,85582,10,59,0
67,85588,2,46,0
68,85588,4,56,1
69,85588,12,36,0
70,85590,2,37,1
71,85590,4,50,0
72,85590,8,36,1
73,85590,10,53,0
74,90787,3,52,0
75,90787,8,36,0
76,90787,10,43,0
77,94338,2,57,0
78,94338,9,36,0
79,95786,2,42,1
80,95786,4,46,1
81,96360,1,54,0
82,96360,7,36,0
83,96360,10,58,0
84,96361,3,45,1
85,96361,11,45,1
86,96365,2,56,0
87,96365,9,36,0
88,96365,11,37,0
89,96464,2,47,0
90,96464,7,36,0
91,96464,11,51,1
92,96468,1,44,0
93,97043,2,48,0
94,97043,5,50,0
95,97097,1,42,1
96,97097,7,36,0
97,97099,3,54,0
98,97099,6,36,1
99,97099,8,36,0
100,97099,12,36,0
101,97100,1,42,0
102,97100,6,36,0
103,97100,9,36,0
104,97152,2,46,0
105,97152,5,58,1
106,97152,9,36,0
107,97154,1,54,0
108,97154,3,36,0
109,97154,10,53,0
110,97177,1,39,0
111,97177,6,36,0
112,97177,8,36,0
113,97214,3,39,0
114,97214,6,36,0
115,97214,8,36,0
116,97214,11,36,0
117,97240,7,36,0
118,97240,9,36,0
119,97244,2,45,0
120,97250,1,52,0
121,97250,3,39,0
122,97250,5,49,1
123,97250,9,36,0
124,97262,2,53,0
125,97262,3,6,0
126,97262,5,40,1
127,97262,9,36,0
128,97262,12,36,0
129,97265,1,51,0
130,97265,3,37,0
131,97265,6,36,0
132,97265,9,36,0
133,97279,1,37,0
134,97279,3,40,0
135,97279,6,36,0
136,97300,1,46,0
137,97300,9,36,1
138,97300,11,47,1
139,97377,3,42,0
140,97377,5,41,0
141,97377,9,36,1
142,97378,3,38,0
143,97378,5,58,0
144,97378,7,36,1
145,97378,11,39,1
146,97446,8,36,0
147,97447,6,36,0
148,97467,7,36,0
149,97467,9,36,1
150,97553,1,37,0
151,97553,4,46,0
152,97553,8,36,1
153,97556,2,48,0
154,97556,4,44,0
155,97556,8,4,0
156,97556,9,32,0
157,97557,8,36,0
158,97562,5,58,0
159,97562,9,36,0
160,97562,11,36,0
161,97791,2,56,0
162,97791,5,44,1
163,97791,11,42,1
164,97898,5,55,0
165,97899,9,36,0
