,id,month,rest_size,aplication
0,10282,4,55,1
1,10282,11,40,1
2,10394,4,71,0
3,10394,9,36,1
4,11092,2,54,0
5,11092,12,36,0
6,11501,7,36,0
7,11507,12,36,0
8,11512,3,66,0
9,11519,9,36,0
10,11529,2,57,0
11,11529,5,37,0
12,11529,8,36,0
13,11531,2,62,0
14,11551,4,41,0
15,11581,4,43,0
16,11584,9,36,0
17,11611,2,36,0
18,11631,1,60,0
19,11633,2,46,1
20,11657,1,41,0
21,11703,8,36,0
22,11714,10,44,0
23,11725,4,55,0
24,11725,12,36,0
25,11728,5,43,0
26,11728,7,36,0
27,11736,11,36,0
28,11754,4,40,0
29,11754,10,73,0
30,11798,9,36,0
31,11811,2,38,0
32,11811,9,36,0
33,11814,11,67,0
34,11819,2,37,0
35,11819,4,49,0
36,11827,5,44,0
37,11833,6,36,0
38,11833,12,36,0
39,11835,2,69,1
40,11845,3,59,0
41,11855,9,27,0
42,11855,10,9,1
43,11856,5,62,0
44,11856,10,57,0
45,11859,5,67,0
46,11859,10,58,0
47,11863,11,44,1
48,11871,9,36,0
49,11875,2,62,1
50,11882,5,39,1
51,11885,4,70,0
52,11887,5,39,1
53,11887,10,68,1
54,11887,12,36,0
55,12130,2,55,0
56,12130,9,36,0
57,12141,2,48,0
58,12203,8,36,0
59,12222,12,36,1
60,12239,1,48,0
61,12239,4,60,0
62,12239,8,36,0
63,12321,4,53,0
64,12339,4,71,0
65,12342,2,54,0
66,12409,4,53,1
67,12493,8,36,0
68,12503,3,70,1
69,12503,6,36,0
70,12509,6,36,0
71,12509,9,36,0
72,12509,12,36,0
73,12510,3,57,0
74,12541,4,39,0
75,12563,1,63,0
76,12564,1,38,0
77,12607,12,36,0
78,12627,7,36,0
79,12627,10,71,0
80,12848,5,36,0
81,12848,6,1,0
82,12905,5,42,0
83,15120,3,58,0
84,15120,8,36,0
85,15164,12,36,0
86,15210,5,42,0
87,15222,9,36,0
88,15222,12,36,0
89,15232,2,46,0
90,15300,6,36,0
91,15303,4,47,0
92,15314,2,48,1
93,15319,6,36,0
94,15319,11,66,0
95,15334,3,47,0
96,15334,6,36,0
97,15334,10,36,0
98,15349,4,62,1
99,34830,3,39,0
100,47291,2,64,1
101,47291,12,36,0
102,47709,1,1,1
103,47709,2,59,0
104,47709,4,60,0
105,85161,7,36,0
106,85201,8,24,0
107,85201,9,12,0
108,85205,8,36,0
109,85418,11,72,1
110,85472,12,36,0
111,85558,4,65,0
112,85558,7,36,1
113,85584,2,58,0
114,85637,2,65,0
115,86216,2,48,0
116,86216,5,71,0
117,86452,2,71,0
118,86473,5,37,0
119,86512,1,44,0
120,86520,2,42,0
121,86662,4,48,1
122,86723,4,53,0
123,86784,2,53,0
124,86785,2,65,1
125,86787,6,36,0
126,86824,7,36,0
127,86826,4,64,0
128,86826,9,36,0
129,86929,7,36,1
130,86968,1,37,0
131,86968,6,36,1
132,87026,2,55,0
133,87026,5,40,1
134,87086,10,49,0
135,87087,11,37,0
136,87160,7,36,0
137,87295,6,36,0
138,87301,9,36,0
139,87301,12,36,0
140,87452,5,62,0
141,87713,10,45,0
142,87733,3,25,0
143,87733,4,39,0
144,87733,6,36,0
145,87733,10,38,0
146,87734,1,62,0
147,87734,11,61,0
148,87745,7,36,0
149,87753,12,36,0
150,87758,5,42,0
151,87766,1,61,0
152,87787,11,44,1
153,87818,2,54,1
154,87894,11,69,0
155,87895,1,50,0
156,87897,2,57,0
157,87897,9,36,0
