,id,month,rest_size,aplication
0,3401,1,73,0
1,3401,3,65,0
2,3402,1,4,0
3,3402,9,36,0
4,3402,12,32,0
5,3405,2,71,0
6,3405,6,36,0
7,3405,9,36,0
8,3425,5,54,0
9,3427,6,36,0
10,3428,2,42,0
11,3428,11,49,0
12,3430,8,36,0
13,3430,10,70,0
14,3434,5,50,0
15,3434,9,36,0
16,3435,4,38,0
17,3437,5,52,0
18,3437,10,73,0
19,3438,3,47,0
20,3438,5,54,0
21,3438,7,36,1
22,3438,11,36,0
23,3439,2,63,0
24,3440,4,71,0
25,3440,9,36,0
26,3441,7,36,0
27,3443,3,49,0
28,3443,10,54,0
29,3444,2,55,0
30,3444,6,36,0
31,3446,10,38,0
32,3450,2,69,0
33,3450,5,42,0
34,3453,4,36,0
35,3453,10,67,1
36,3455,2,46,0
37,3455,4,72,0
38,3455,11,58,0
39,3456,12,36,0
40,3459,7,36,0
41,3459,10,39,0
42,3461,2,73,0
43,3461,8,11,0
44,3461,9,25,0
45,3464,6,36,0
46,3464,12,36,0
47,3469,4,44,1
48,3469,6,36,1
49,3469,10,67,1
50,3471,5,63,1
51,3471,10,43,0
52,3471,12,36,0
53,3474,2,66,1
54,3477,7,36,0
55,3478,5,62,1
56,3478,8,36,1
57,3478,11,59,0
58,3479,1,58,0
59,3479,4,71,0
60,3480,3,55,0
61,3480,6,36,0
62,3480,9,36,0
63,3483,1,69,0
64,3484,4,64,0
65,3484,8,36,0
66,3485,5,42,0
67,3486,12,36,1
68,3496,10,70,0
69,3500,5,71,0
70,3500,7,36,1
71,3500,10,58,1
72,3501,4,67,0
73,3506,4,53,0
74,3506,10,54,1
75,3506,12,36,0
76,3507,2,56,0
77,3507,4,60,0
78,3511,7,36,0
79,3513,4,46,0
80,3513,8,36,0
81,3514,6,36,0
82,3516,2,43,0
83,3516,8,36,0
84,3516,11,37,0
85,3517,3,65,1
86,3517,10,67,1
87,3517,12,36,0
88,3518,9,36,0
89,3522,9,36,1
90,3525,2,64,1
91,3525,10,42,0
92,3529,5,56,0
93,3529,9,36,0
94,3529,12,36,0
95,3532,7,36,0
96,3534,9,36,0
97,3538,2,39,0
98,3539,2,39,0
99,3539,5,51,0
100,3539,7,36,0
101,3545,2,57,0
102,3545,7,36,0
103,3547,3,61,0
104,3548,5,52,0
105,3553,1,57,0
106,3553,5,63,0
107,3553,7,36,0
108,3554,4,51,0
109,3558,1,21,0
110,3558,2,16,1
111,3558,4,53,1
112,3561,4,73,0
113,3563,6,36,1
114,3563,8,36,1
115,3563,10,69,0
116,3564,1,64,0
117,3564,10,50,0
118,3567,6,36,0
119,3571,3,37,0
120,3571,7,36,0
121,3574,4,43,1
122,3574,10,45,1
123,3579,8,36,0
124,3579,10,45,0
125,3580,12,36,0
126,3584,3,36,1
127,3584,9,36,1
128,3584,12,36,1
129,3585,3,60,0
130,3585,9,36,0
131,3585,11,51,0
132,3586,5,61,1
133,3587,3,39,0
134,3587,6,36,0
135,3587,8,36,0
136,3587,10,39,0
137,3602,5,45,0
138,3602,12,36,0
139,3604,11,56,0
140,3606,1,71,1
141,3606,4,42,1
142,3609,12,36,0
143,3610,4,36,0
144,3610,6,36,0
145,3610,8,36,0
146,3610,11,71,0
147,3611,7,36,0
148,3611,11,63,1
149,3612,2,67,0
150,3612,6,36,0
151,3614,8,36,0
152,3615,2,54,0
153,3615,4,69,0
154,3615,7,36,0
155,3616,2,72,0
156,3617,2,66,0
157,3617,4,38,0
158,3620,2,36,0
159,3621,2,39,0
160,3623,3,66,0
161,3623,9,36,0
162,3623,12,36,0
163,3624,2,37,0
164,3624,10,70,0
165,3625,2,61,1
166,3625,6,36,1
167,3628,2,65,0
168,3628,4,46,0
169,3628,8,36,0
170,3629,1,51,0
171,3629,5,38,1
172,3629,10,49,1
173,3632,1,63,0
174,3632,9,36,0
175,3634,4,58,0
176,3635,5,68,0
177,3635,8,36,0
178,3637,6,36,0
179,3637,10,36,0
180,3638,2,65,0
181,3638,4,41,0
182,3638,9,36,1
183,3639,4,73,0
184,3640,4,36,0
185,3641,2,42,0
