,id,month,rest_size,aplication
0,3476,1,51,0
1,3476,3,48,0
2,3476,9,36,0
3,3476,11,37,0
4,3519,2,42,0
5,3519,5,71,0
6,3519,7,36,0
7,3533,2,65,0
8,3533,5,70,0
9,3533,8,36,0
10,3536,2,39,0
11,3536,5,65,0
12,3536,7,36,0
13,3536,9,36,0
14,3537,6,36,0
15,3537,8,36,0
16,3537,11,40,0
17,3544,1,70,0
18,3544,3,43,0
19,3544,5,52,0
20,3572,4,44,0
21,3572,7,36,0
22,3572,12,36,0
23,3575,2,62,0
24,3575,5,65,0
25,3575,8,36,0
26,3589,1,69,0
27,3589,4,61,0
28,3589,6,36,0
29,3605,1,72,0
30,3605,4,45,0
31,3605,6,36,0
32,3631,2,60,0
33,3631,6,36,0
34,3631,9,36,0
35,3631,11,47,0
36,3738,2,36,0
37,3738,4,41,1
38,3738,6,36,0
39,3738,8,36,0
40,3739,2,66,0
41,3739,4,67,0
42,3739,6,36,0
43,3741,1,53,0
44,3741,6,36,0
45,3741,8,36,0
46,3744,1,67,0
47,3744,6,36,0
48,3745,1,36,0
49,3745,7,36,0
50,3745,9,36,0
51,3769,4,43,0
52,3769,8,36,0
53,3769,10,53,0
54,3769,12,36,0
55,4714,4,65,0
56,4714,7,36,0
57,4714,10,69,0
58,4749,3,47,0
59,4749,5,41,0
60,4749,8,36,0
61,4749,10,59,0
62,4758,1,58,0
63,4758,3,64,0
64,4758,7,36,0
65,4795,2,61,0
66,4795,4,52,1
67,4795,7,36,0
68,5014,1,46,0
69,5014,5,46,0
70,5014,9,36,0
71,5014,11,42,0
72,5020,2,73,0
73,5020,4,38,1
74,5020,7,36,0
75,11528,2,64,1
76,11528,5,69,0
77,11528,7,36,0
78,11577,2,56,0
79,11577,4,64,0
80,11577,6,36,0
81,11621,2,57,0
82,11621,6,36,1
83,11621,10,45,0
84,11645,2,69,0
85,11645,4,73,0
86,11645,7,36,0
87,11647,1,54,0
88,11647,3,65,0
89,11647,5,47,0
90,11676,2,43,0
91,11676,4,53,0
92,11676,6,36,0
93,11676,12,36,0
94,11685,2,43,1
95,11685,4,38,1
96,11685,6,36,0
97,11685,8,36,1
98,11709,1,46,0
99,11709,3,37,0
100,11709,6,36,0
101,11709,8,36,0
102,11716,3,40,0
103,11716,5,43,1
104,11716,8,36,1
105,11791,2,57,0
106,11791,7,36,0
107,11791,10,73,0
108,11817,1,65,1
109,11817,5,44,1
110,11817,7,36,0
111,11817,9,36,1
112,11828,2,44,0
113,11828,4,71,0
114,11828,6,36,0
115,11830,3,72,1
116,11830,5,55,0
117,11830,7,36,1
118,11834,2,70,0
119,11834,4,44,0
120,11834,7,36,0
121,11840,1,65,0
122,11840,3,50,0
123,11840,7,36,1
124,11844,3,58,0
125,11844,5,45,0
126,11844,9,36,0
127,11844,12,36,0
128,12135,2,48,1
129,12135,4,43,0
130,12135,6,36,1
131,12135,8,36,0
132,12166,2,64,1
133,12166,5,46,0
134,12166,8,36,0
135,12170,2,48,0
136,12170,4,46,0
137,12170,6,36,0
138,12170,8,36,0
139,12177,2,66,0
140,12177,5,47,0
141,12177,10,57,0
142,12229,1,70,0
143,12229,3,71,0
144,12229,6,36,0
145,12253,2,59,0
146,12253,6,36,0
147,12253,12,36,0
148,12336,1,52,0
149,12336,5,43,1
150,12336,8,36,1
151,12336,11,42,1
152,12387,1,60,0
153,12387,3,46,0
154,12387,6,36,0
155,12387,8,36,0
156,12401,2,69,0
157,12401,4,58,0
158,12401,6,36,0
159,12406,2,41,0
160,12406,4,51,0
161,12406,6,36,0
162,12406,8,36,0
163,12407,1,48,0
164,12407,4,69,0
165,12407,8,36,0
166,12416,3,72,0
167,12416,6,36,0
168,12416,8,36,0
169,12416,10,36,0
170,12421,2,38,0
171,12421,4,49,1
172,12421,7,36,0
173,12421,10,53,0
174,12434,5,73,0
175,12434,8,36,1
176,12434,10,47,1
177,12489,2,36,0
178,12489,4,44,0
179,12489,5,1,0
180,12489,9,36,0
181,12489,11,65,0
182,12494,2,54,0
183,12494,5,57,0
184,12494,7,36,0
185,12494,9,36,1
186,12522,2,41,0
187,12522,6,36,1
188,12522,10,66,0
189,12522,12,36,0
190,12559,3,41,1
191,12559,6,36,0
192,12559,9,36,0
193,12559,11,55,1
194,12600,1,55,0
195,12600,3,69,0
196,12600,6,36,0
197,12617,2,36,1
198,12617,6,36,0
199,12617,8,36,1
200,12617,10,69,0
201,12629,1,63,0
202,12629,4,58,1
203,12629,6,36,1
204,12852,1,46,0
205,12852,5,62,0
206,12852,7,36,0
207,12852,9,36,0
208,13499,2,41,0
209,13499,7,36,0
210,13499,9,36,0
211,13499,11,45,0
212,13812,2,38,0
213,13812,5,72,0
214,13812,7,36,0
215,13828,2,59,0
216,13828,4,73,0
217,13828,6,36,0
218,13849,1,54,0
219,13849,5,42,0
220,13849,7,36,0
221,13849,9,36,0
222,13863,1,37,0
223,13863,3,68,0
224,13863,5,43,0
225,13863,7,36,0
226,15073,1,49,0
227,15073,5,38,0
228,15073,7,36,0
229,15073,9,36,0
230,15098,1,46,0
231,15098,3,64,1
232,15098,8,36,0
233,15124,2,66,0
234,15124,5,55,0
235,15124,7,36,1
236,15143,2,56,1
237,15143,4,69,0
238,15143,6,36,0
239,15163,5,58,0
240,15163,8,36,0
241,15168,2,54,0
242,15168,5,40,1
243,15168,7,36,0
244,15168,10,41,1
245,15173,1,60,0
246,15173,4,68,1
247,15173,10,56,0
248,15174,2,58,1
249,15174,4,43,0
250,15174,7,36,0
251,15174,9,36,0
252,15179,1,67,1
253,15179,3,60,0
254,15179,7,36,0
255,15184,1,69,0
256,15184,4,52,0
257,15184,6,36,0
258,15304,3,63,1
259,15304,8,36,0
260,15304,10,66,0
