,id,month,rest_size,application
0,3426,2,42,0
1,3426,4,45,0
2,3426,6,36,0
3,3426,10,36,0
4,3431,1,63,0
5,3431,3,45,1
6,3431,5,71,0
7,3433,1,64,0
8,3433,4,47,0
9,3433,6,36,0
10,3433,10,36,0
11,3465,1,68,0
12,3465,5,37,0
13,3465,7,36,0
14,3465,9,36,0
15,3468,3,72,0
16,3468,5,67,0
17,3468,8,36,0
18,3470,1,41,0
19,3470,3,43,0
20,3470,5,56,0
21,3470,8,36,0
22,3481,1,52,0
23,3481,3,57,0
24,3481,7,36,0
25,3487,2,51,0
26,3487,4,51,0
27,3487,6,36,0
28,3487,8,36,0
29,3491,3,64,0
30,3491,5,61,0
31,3491,7,36,0
32,3492,1,12,0
33,3492,2,57,0
34,3492,4,64,0
35,3492,6,36,0
36,3493,1,64,0
37,3493,3,47,0
38,3493,5,50,0
39,3512,2,36,0
40,3512,6,36,0
41,3541,2,73,0
42,3541,4,42,0
43,3541,8,36,0
44,3546,3,61,0
45,3546,6,36,0
46,3546,9,36,1
47,3546,12,36,0
48,3603,2,72,0
49,3603,8,36,1
50,3603,12,36,0
51,3626,1,44,0
52,3626,3,68,0
53,3626,5,64,0
54,3627,1,37,0
55,3627,3,60,0
56,3627,5,72,0
57,3768,4,59,0
58,3768,6,36,0
59,3768,9,36,0
60,3768,11,37,0
61,3791,1,48,0
62,3791,4,51,0
63,3791,6,36,0
64,3791,8,36,0
65,4905,1,46,0
66,4905,3,44,0
67,4905,5,38,1
68,4905,7,36,0
69,4921,1,56,0
70,4921,3,42,0
71,4921,5,43,1
72,4921,9,36,1
73,5012,1,71,0
74,5012,3,36,0
75,5012,5,70,0
76,5017,2,51,0
77,5017,4,50,0
78,5017,8,36,1
79,5017,10,43,0
80,5916,1,73,0
81,5916,3,60,0
82,5916,5,38,0
83,5946,2,50,1
84,5946,4,42,0
85,5946,6,36,0
86,5946,8,36,1
87,5952,1,55,0
88,5952,6,36,0
89,5952,9,36,0
90,5967,2,58,1
91,5967,4,38,0
92,5967,6,36,0
93,5967,8,36,1
94,5981,3,73,0
95,5981,6,36,0
96,5981,8,36,0
97,5981,10,36,0
98,5985,2,44,1
99,5985,5,57,0
100,5985,7,36,0
101,5985,9,36,0
102,5989,1,55,0
103,5989,3,59,0
104,5989,6,36,0
105,5995,1,61,0
106,5995,3,72,0
107,5995,6,36,0
108,5997,1,54,0
109,5997,3,67,0
110,5997,6,36,0
111,12015,2,67,0
112,12015,4,45,0
113,12015,6,36,0
114,12015,8,36,0
115,12119,1,59,0
116,12119,3,37,0
117,12119,6,36,0
118,12119,9,36,0
119,12120,1,69,0
120,12120,6,36,0
121,12120,8,36,0
122,12147,2,52,0
123,12147,4,47,0
124,12147,7,36,0
125,12147,9,36,1
126,12173,1,50,0
127,12173,4,63,0
128,12173,7,36,0
129,12195,1,46,0
130,12195,3,71,0
131,12195,5,55,0
132,12200,2,38,0
133,12200,4,43,0
134,12200,7,36,0
135,12200,9,36,0
136,12258,1,56,0
137,12258,3,46,1
138,12258,5,45,1
139,12258,8,36,0
